x,faults
295.8252,3946.7041
296.3778,3946.0815
297.1374,3945.3892
297.5518,3944.974
298.1734,3944.2822
298.8642,3943.4522
299.4861,3942.5535
299.9009,3941.8624
300.7291,3941.3768
301.3504,3940.9609
302.3167,3940.4058
303.0073,3939.7138
303.9052,3938.7452
304.3881,3938.6056
305.0781,3938.3963
305.9057,3938.3934
306.7333,3938.3216
307.423,3938.3192
308.2507,3938.2474
309.1478,3937.8305
310.1144,3937.0686
311.0807,3936.5135
311.9782,3935.8208
313.0829,3934.9204
314.394,3934.3642
315.499,3933.2569
315.5798,3924.6359
315.9238,3925.2554
315.9878,3928.8414
316.0538,3930.9791
316.0554,3929.8067
316.1214,3932.0134
316.1985,3926.0821
316.4028,3927.9434
316.4043,3926.909
