x,origin_wind_direction
0,172.009
0.0953,179.487
0.1716,174.252
0.2859,184.722
0.3622,177.991
0.4575,181.731
0.5147,173.504
0.6291,177.244
0.6481,172.756
0.7625,179.487
0.9341,184.722
0.9531,179.487
1.0866,182.479
1.1056,189.209
1.2581,185.47
1.4297,186.966
1.4869,183.226
1.6203,187.714
1.811,180.983
1.8872,183.974
1.9825,180.235
2.116,183.974
2.2113,181.731
2.2875,187.714
2.4019,182.479
2.5544,186.218
2.7832,190.705
2.8594,186.218
2.9166,178.739
3.0691,183.226
3.1072,185.47
3.1835,180.983
3.2979,177.244
3.4313,180.983
3.5266,184.722
3.641,186.966
3.8507,189.209
3.9269,187.714
4.0794,184.722
4.3082,180.983
4.4226,182.479
4.5751,185.47
4.6322,183.226
4.7847,179.487
4.9182,176.496
5.0707,181.731
5.1851,180.983
5.2804,175
5.3376,174.252
5.4519,179.487
5.5091,183.226
5.5854,184.722
5.7569,184.722
5.8523,188.462
5.9095,186.218
5.9857,179.487
6.1573,177.244
6.2526,171.261
6.367,176.496
6.4051,174.252
6.5766,179.487
6.7673,173.504
6.8435,177.244
6.9198,169.765
6.977,169.017
7.0151,173.504
7.0913,175
7.1676,177.244
7.282,180.983
7.3392,173.504
7.4917,183.226
7.5488,183.226
7.6442,180.235
7.7585,174.252
7.8348,177.244
7.892,172.009
8.0445,175.748
8.0826,177.991
8.1779,177.991
8.216,179.487
8.2732,177.991
8.3495,173.504
8.4067,180.235
8.4257,180.983
8.4639,180.983
8.5592,178.739
8.5973,178.739
8.6736,180.235
8.7689,180.983
8.8261,176.496
8.8832,181.731
8.9023,187.714
9.0357,184.722
9.112,188.462
9.2454,189.957
9.3026,186.966
9.3979,200.427
9.4932,193.697
9.5695,203.419
9.5886,200.427
9.6648,202.671
9.6839,201.923
9.7601,204.167
9.8364,200.427
9.9126,200.427
9.9698,196.688
10.0461,199.679
10.1033,209.402
10.1604,212.393
10.2176,205.662
10.2367,199.679
10.2558,198.184
10.332,201.175
10.3701,204.915
10.3892,207.906
10.4273,210.897
10.4654,213.141
10.4845,204.167
10.5608,202.671
10.5989,210.15
10.6751,216.132
10.7133,219.124
10.7705,227.35
10.8276,226.603
10.8467,219.124
10.923,216.88
10.9801,216.132
11.0945,222.863
11.1517,226.603
11.1898,218.376
11.2851,223.611
11.3233,227.35
11.3423,230.342
11.3614,234.081
11.3805,242.308
11.4567,232.585
11.4948,223.611
11.552,219.872
11.6283,232.585
11.6473,225.107
11.7236,234.829
11.7617,224.359
11.8189,221.368
11.838,218.376
11.9142,219.872
11.9905,226.603
12.0286,233.333
12.0667,217.628
12.2192,272.222
12.2764,277.457
12.3145,270.726
12.3336,269.231
12.3717,266.239
12.4098,260.256
12.467,258.761
12.5433,262.5
12.5814,264.744
12.6767,267.735
12.6958,270.726
12.753,291.667
12.8102,286.432
12.9055,286.432
12.9436,286.432
13.0389,290.919
13.2677,274.466
13.4011,287.179
13.4202,284.188
13.4774,281.944
13.5536,270.726
13.6108,267.735
13.6871,278.953
13.7633,269.979
13.9158,278.205
13.9921,263.996
14.0683,257.265
14.1446,269.979
14.2017,263.996
14.2399,259.509
14.3352,268.483
14.3542,271.474
14.4686,284.936
14.5449,275.962
14.6021,284.188
14.6783,270.726
14.7546,264.744
14.7736,266.987
14.8689,278.205
14.9452,278.205
15.0405,258.761
15.0786,272.222
15.3455,269.979
15.4027,267.735
15.479,278.205
15.5552,265.491
15.7268,284.936
15.8221,273.718
15.8793,267.735
15.9174,283.44
15.9936,278.205
16.0699,269.979
16.108,268.483
16.2415,268.483
16.2796,272.222
16.394,275.962
16.4321,266.987
16.5465,273.718
16.6037,282.692
16.699,287.179
16.718,288.675
16.8515,276.709
16.9658,276.709
17.0421,284.188
17.309,282.692
17.4424,285.684
17.5759,278.205
17.6902,274.466
17.8237,280.449
17.938,272.222
17.9571,268.483
18.0905,274.466
18.1287,280.449
18.1859,282.692
18.2812,278.953
18.3193,284.936
18.4146,272.222
18.4718,266.987
18.5862,278.205
18.6243,284.936
18.7577,284.188
18.834,291.667
18.9102,293.91
19.0437,293.162
19.1199,287.927
19.1771,293.162
19.2915,299.893
19.3296,303.632
19.4059,306.624
19.5203,305.128
19.5584,300.641
19.6728,298.397
19.7871,296.902
19.9206,295.406
20.1493,291.667
20.3209,283.44
20.4543,278.953
20.5115,276.709
20.5687,276.709
20.645,278.953
20.7403,281.197
20.8546,283.44
21.0262,287.179
21.1215,290.919
21.2168,291.667
21.3312,330.556
21.5028,343.269
21.579,338.782
21.6362,340.278
21.7125,336.538
21.7887,338.782
21.9031,343.269
21.9412,340.278
21.9603,336.538
22.0937,340.278
22.189,335.791
22.3606,340.278
22.4559,339.53
22.6084,342.521
22.7419,344.017
22.8181,338.782
23,343.269
