x,wind_speed_origin
0,6.7237
0.1145,7.3377
0.1908,5.1579
0.2289,7.7982
0.3434,5.6798
0.4197,6.7237
0.5151,6.2325
0.6486,7.2149
0.725,6.693
0.8203,6.2632
0.8776,7.7368
0.9348,8.8728
1.0111,7.9211
1.0302,9.3026
1.0684,7.2763
1.1447,8.2895
1.2591,7.7368
1.2782,9.7632
1.3545,7.8289
1.4118,9.7632
1.4881,10.2851
1.5072,8.8728
1.5835,7.7982
1.6979,10.3158
1.7552,8.7807
1.8887,11.3289
1.9841,9.364
2.0604,10.2851
2.1176,8.7807
2.1749,11.8509
2.213,10.0088
2.2703,10.8684
2.4038,10.8684
2.4229,7.8289
2.4801,9.7939
2.5564,8.8114
2.5946,9.886
2.7091,11.3289
2.7663,9.886
2.8235,10.3465
2.9762,8.8728
3.0334,9.8246
3.0906,11.2982
3.1479,9.3333
3.2814,10.3158
3.3196,8.7807
3.3768,9.7939
3.4149,8.8114
3.4722,9.3026
3.5485,7.8596
3.6057,9.8553
3.6439,8.2588
3.7393,9.7939
3.7774,8.2588
3.8919,7.9211
3.93,9.7939
4.0827,7.307
4.159,9.7939
4.2544,6.7237
4.2925,7.7675
4.3307,6.1711
4.4642,6.6623
4.5405,8.7807
4.6359,7.2149
4.8267,6.2325
4.9221,6.2632
4.9793,7.2456
5.0938,7.2763
5.132,6.7851
5.2273,6.2939
5.4181,8.7807
5.4372,8.2588
5.4944,6.7544
5.5898,6.2939
5.6852,6.7544
5.876,5.7719
5.8951,7.7675
5.9714,5.2807
6.0286,7.6447
6.1622,6.7851
6.2385,5.2807
6.3148,4.636
6.4102,6.7237
6.4293,5.7105
6.5437,5.6491
6.6582,6.7237
6.7536,5.2193
6.8299,6.3553
6.868,5.25
7.0016,5.6491
7.0397,6.7851
7.1161,5.8026
7.1924,5.1886
7.2687,5.7105
7.3259,5.2193
7.4022,5.2193
7.5739,7.4605
7.6502,5.7719
7.7075,6.7544
7.7647,7.7982
7.7838,8.2895
7.8601,6.7237
7.9364,8.2281
8.089,7.3377
8.1844,6.693
8.2417,7.4605
8.2989,8.2588
8.3561,8.2588
8.4515,7.6447
8.566,8.75
8.6041,7.9211
8.7186,8.8114
8.7377,7.7061
8.8521,8.2281
8.8712,6.7237
8.9094,9.2412
8.9475,8.2588
9.0048,9.3026
9.0238,7.1842
9.1955,9.7632
9.2719,8.2588
9.31,8.2895
9.3672,9.2719
9.4245,9.7632
9.5008,8.3202
9.539,8.7807
9.6153,8.7807
9.6343,7.7368
9.7107,7.6754
9.7488,9.2412
9.8251,9.886
9.9014,9.7632
9.9396,7.8904
10.035,7.307
10.0541,8.6579
10.1494,7.8904
10.1685,9.3333
10.2067,7.2763
10.3784,10.807
10.4165,8.9956
10.4738,10.3465
10.5501,9.0263
10.6073,10.3772
10.6645,9.0877
10.7027,10.3772
10.779,9.1491
10.7981,8.3509
10.8744,8.3509
10.9889,11.2982
11.0461,7.7982
11.1033,9.0877
11.2178,7.2149
11.256,8.8114
11.3323,8.3202
11.4086,6.8158
11.5231,10.3772
11.5612,7.2456
11.5803,8.8421
11.752,8.8114
11.8665,6.7544
12.0191,8.8728
12.0382,7.7061
12.2099,10.8684
12.3052,10.3158
12.4197,7.307
12.4769,7.7675
12.5151,6.7237
12.6486,6.7237
12.725,8.0746
12.7631,9.2719
12.8013,9.7325
12.8585,7.7675
12.973,7.8289
12.9921,9.2412
13.0302,9.8246
13.1638,8.9035
13.2591,6.2632
13.3545,8.7193
13.4308,8.3509
13.4881,9.3026
13.5835,10.8684
13.6025,8.9035
13.717,10.8377
13.7742,11.3904
13.8506,7.3684
14.0223,10.2851
14.0986,7.7982
14.194,8.9035
14.213,7.8289
14.3466,7.3377
14.442,6.8772
14.4801,8.1667
14.5183,9.2412
14.5755,7.307
14.69,9.8246
14.7663,8.2895
14.8617,7.7982
14.8808,9.2412
14.9571,7.8289
15.0334,8.8728
15.1097,10.1009
15.1479,11.3596
15.2814,11.8509
15.3768,12.4649
15.4149,12.8333
